[step=121] reward=-50.0 safe_moves=43.0 safe_tiles=50.0
[step=227] reward=-100.0 safe_moves=0.0 safe_tiles=0.0
[step=352] reward=-84.0 safe_moves=6.0 safe_tiles=16.0
[step=456] reward=-100.0 safe_moves=0.0 safe_tiles=0.0
[step=574] reward=-90.0 safe_moves=1.0 safe_tiles=10.0
[step=704] reward=-89.0 safe_moves=2.0 safe_tiles=11.0
[step=822] reward=-88.0 safe_moves=3.0 safe_tiles=12.0
[step=946] reward=-86.0 safe_moves=1.0 safe_tiles=14.0
[step=1090] reward=-98.0 safe_moves=2.0 safe_tiles=2.0
[step=1216] reward=-99.0 safe_moves=1.0 safe_tiles=1.0
[step=1344] reward=-86.0 safe_moves=9.0 safe_tiles=14.0
[step=1468] reward=-61.0 safe_moves=13.0 safe_tiles=39.0
[step=1585] reward=-68.0 safe_moves=9.0 safe_tiles=32.0
[step=1711] reward=-73.0 safe_moves=9.0 safe_tiles=27.0
[step=1834] reward=-99.0 safe_moves=1.0 safe_tiles=1.0
[step=1958] reward=-96.0 safe_moves=4.0 safe_tiles=4.0
[step=2059] reward=-99.0 safe_moves=1.0 safe_tiles=1.0
[step=2175] reward=-99.0 safe_moves=1.0 safe_tiles=1.0
[step=2289] reward=-74.0 safe_moves=10.0 safe_tiles=26.0
[step=2426] reward=-99.0 safe_moves=1.0 safe_tiles=1.0
[step=2555] reward=-53.0 safe_moves=31.0 safe_tiles=47.0
[step=2671] reward=-69.0 safe_moves=6.0 safe_tiles=31.0
[step=2782] reward=-100.0 safe_moves=0.0 safe_tiles=0.0
[step=2896] reward=-100.0 safe_moves=0.0 safe_tiles=0.0
[step=3002] reward=-80.0 safe_moves=18.0 safe_tiles=20.0
[step=3105] reward=-100.0 safe_moves=0.0 safe_tiles=0.0
[step=3223] reward=-90.0 safe_moves=4.0 safe_tiles=10.0
[step=3350] reward=-42.0 safe_moves=33.0 safe_tiles=58.0
[step=3493] reward=-78.0 safe_moves=4.0 safe_tiles=22.0
[step=3613] reward=-98.0 safe_moves=2.0 safe_tiles=2.0
[step=3734] reward=-73.0 safe_moves=10.0 safe_tiles=27.0
[step=3852] reward=-98.0 safe_moves=2.0 safe_tiles=2.0
[step=3964] reward=-88.0 safe_moves=3.0 safe_tiles=12.0
[step=4083] reward=-74.0 safe_moves=5.0 safe_tiles=26.0
[step=4195] reward=-97.0 safe_moves=3.0 safe_tiles=3.0
[step=4320] reward=-100.0 safe_moves=0.0 safe_tiles=0.0
[step=4433] reward=-74.0 safe_moves=16.0 safe_tiles=26.0
[step=4552] reward=-51.0 safe_moves=35.0 safe_tiles=49.0
[step=4672] reward=-99.0 safe_moves=1.0 safe_tiles=1.0
[step=4783] reward=-44.0 safe_moves=16.0 safe_tiles=56.0
[step=4920] reward=-77.0 safe_moves=10.0 safe_tiles=23.0
Saved checkpoint: dqn-checkpoint-5000.pth
[step=5066] reward=-76.0 safe_moves=8.0 safe_tiles=24.0
[step=5189] reward=-82.0 safe_moves=10.0 safe_tiles=18.0
[step=5305] reward=-88.0 safe_moves=3.0 safe_tiles=12.0
[step=5432] reward=-65.0 safe_moves=18.0 safe_tiles=35.0
[step=5560] reward=-100.0 safe_moves=0.0 safe_tiles=0.0
[step=5702] reward=-97.0 safe_moves=3.0 safe_tiles=3.0
[step=5812] reward=-97.0 safe_moves=3.0 safe_tiles=3.0
[step=5949] reward=-100.0 safe_moves=0.0 safe_tiles=0.0
[step=6065] reward=-70.0 safe_moves=7.0 safe_tiles=30.0
[step=6190] reward=-93.0 safe_moves=8.0 safe_tiles=7.0
[step=6305] reward=-73.0 safe_moves=10.0 safe_tiles=27.0
[step=6422] reward=-98.0 safe_moves=2.0 safe_tiles=2.0
[step=6532] reward=-98.0 safe_moves=2.0 safe_tiles=2.0
[step=6665] reward=-88.0 safe_moves=16.0 safe_tiles=12.0
[step=6775] reward=-95.0 safe_moves=5.0 safe_tiles=5.0
[step=6902] reward=-85.0 safe_moves=9.0 safe_tiles=15.0
[step=7052] reward=-100.0 safe_moves=0.0 safe_tiles=0.0
[step=7193] reward=-100.0 safe_moves=0.0 safe_tiles=0.0
[step=7332] reward=-74.0 safe_moves=8.0 safe_tiles=26.0
[step=7491] reward=-68.0 safe_moves=20.0 safe_tiles=32.0
[step=7609] reward=-86.0 safe_moves=18.0 safe_tiles=14.0
[step=7753] reward=-82.0 safe_moves=5.0 safe_tiles=18.0
[step=7888] reward=-73.0 safe_moves=16.0 safe_tiles=27.0
[step=8049] reward=-60.0 safe_moves=22.0 safe_tiles=40.0
[step=8168] reward=-90.0 safe_moves=4.0 safe_tiles=10.0
[step=8307] reward=-84.0 safe_moves=6.0 safe_tiles=16.0
[step=8427] reward=-85.0 safe_moves=6.0 safe_tiles=15.0
[step=8565] reward=-62.0 safe_moves=32.0 safe_tiles=38.0
[step=8710] reward=-84.0 safe_moves=9.0 safe_tiles=16.0
[step=8855] reward=-91.0 safe_moves=13.0 safe_tiles=9.0
[step=8997] reward=-91.0 safe_moves=13.0 safe_tiles=9.0
[step=9157] reward=-100.0 safe_moves=0.0 safe_tiles=0.0
[step=9313] reward=-85.0 safe_moves=7.0 safe_tiles=15.0
[step=9440] reward=-89.0 safe_moves=11.0 safe_tiles=11.0
[step=9590] reward=-90.0 safe_moves=11.0 safe_tiles=10.0
[step=9703] reward=-76.0 safe_moves=13.0 safe_tiles=24.0
[step=9868] reward=-98.0 safe_moves=2.0 safe_tiles=2.0
[step=9992] reward=-58.0 safe_moves=42.0 safe_tiles=42.0
Saved checkpoint: dqn-checkpoint-10000.pth
[step=10108] reward=-84.0 safe_moves=24.0 safe_tiles=16.0
[step=10247] reward=-58.0 safe_moves=14.0 safe_tiles=42.0
[step=10376] reward=-56.0 safe_moves=56.0 safe_tiles=44.0
[step=10505] reward=-85.0 safe_moves=23.0 safe_tiles=15.0
[step=10639] reward=-93.0 safe_moves=7.0 safe_tiles=7.0
[step=10761] reward=-80.0 safe_moves=15.0 safe_tiles=20.0
[step=10899] reward=-63.0 safe_moves=22.0 safe_tiles=37.0
[step=11021] reward=-86.0 safe_moves=11.0 safe_tiles=14.0
[step=11152] reward=-78.0 safe_moves=9.0 safe_tiles=22.0
[step=11281] reward=-88.0 safe_moves=4.0 safe_tiles=12.0
[step=11416] reward=-97.0 safe_moves=3.0 safe_tiles=3.0
[step=11540] reward=-70.0 safe_moves=12.0 safe_tiles=30.0
[step=11670] reward=-76.0 safe_moves=5.0 safe_tiles=24.0
